Title,Description,Skill: Active Learning,Skill: Active Listening,Skill: Complex Problem Solving,Skill: Coordination,Skill: Critical Thinking,Skill: Equipment Maintenance,Skill: Equipment Selection,Skill: Installation,Skill: Instructing,Skill: Judgment and Decision Making,Skill: Learning Strategies,Skill: Management of Financial Resources,Skill: Management of Material Resources,Skill: Management of Personnel Resources,Skill: Mathematics,Skill: Monitoring,Skill: Negotiation,Skill: Operation and Control,Skill: Operations Analysis,Skill: Operations Monitoring,Skill: Persuasion,Skill: Programming,Skill: Quality Control Analysis,Skill: Reading Comprehension,Skill: Repairing,Skill: Science,Skill: Service Orientation,Skill: Social Perceptiveness,Skill: Speaking,Skill: Systems Analysis,Skill: Systems Evaluation,Skill: Technology Design,Skill: Time Management,Skill: Troubleshooting,Skill: Writing,Knowledge: Administration and Management,Knowledge: Administrative,Knowledge: Biology,Knowledge: Building and Construction,Knowledge: Chemistry,Knowledge: Communications and Media,Knowledge: Computers and Electronics,Knowledge: Customer and Personal Service,Knowledge: Design,Knowledge: Economics and Accounting,Knowledge: Education and Training,Knowledge: Engineering and Technology,Knowledge: English Language,Knowledge: Fine Arts,Knowledge: Food Production,Knowledge: Foreign Language,Knowledge: Geography,Knowledge: History and Archeology,Knowledge: Law and Government,Knowledge: Mathematics,Knowledge: Mechanical,Knowledge: Medicine and Dentistry,Knowledge: Personnel and Human Resources,Knowledge: Philosophy and Theology,Knowledge: Physics,Knowledge: Production and Processing,Knowledge: Psychology,Knowledge: Public Safety and Security,Knowledge: Sales and Marketing,Knowledge: Sociology and Anthropology,Knowledge: Telecommunications,Knowledge: Therapy and Counseling,Knowledge: Transportation,Ability: Arm-Hand Steadiness,Ability: Auditory Attention,Ability: Category Flexibility,Ability: Control Precision,Ability: Deductive Reasoning,Ability: Depth Perception,Ability: Dynamic Flexibility,Ability: Dynamic Strength,Ability: Explosive Strength,Ability: Extent Flexibility,Ability: Far Vision,Ability: Finger Dexterity,Ability: Flexibility of Closure,Ability: Fluency of Ideas,Ability: Glare Sensitivity,Ability: Gross Body Coordination,Ability: Gross Body Equilibrium,Ability: Hearing Sensitivity,Ability: Inductive Reasoning,Ability: Information Ordering,Ability: Manual Dexterity,Ability: Mathematical Reasoning,Ability: Memorization,Ability: Multilimb Coordination,Ability: Near Vision,Ability: Night Vision,Ability: Number Facility,Ability: Oral Comprehension,Ability: Oral Expression,Ability: Originality,Ability: Perceptual Speed,Ability: Peripheral Vision,Ability: Problem Sensitivity,Ability: Rate Control,Ability: Reaction Time,Ability: Response Orientation,Ability: Selective Attention,Ability: Sound Localization,Ability: Spatial Orientation,Ability: Speech Clarity,Ability: Speech Recognition,Ability: Speed of Closure,Ability: Speed of Limb Movement,Ability: Stamina,Ability: Static Strength,Ability: Time Sharing,Ability: Trunk Strength,Ability: Visual Color Discrimination,Ability: Visualization,Ability: Wrist-Finger Speed,Ability: Written Comprehension,Ability: Written Expression,Skill Profile,Knowledge Profile,Ability Profile
Validation Engineers,"Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements.",3.25,3.88,3.75,3.0,4.0,1.38,1.12,1.0,2.75,3.12,3.0,1.75,2.0,2.75,3.12,3.88,2.75,2.12,3.0,3.12,2.88,1.88,3.0,4.12,1.12,3.75,2.75,3.12,4.0,3.12,3.12,1.88,3.0,2.25,4.0,3.15,2.9,1.89,1.58,2.6,2.25,3.15,3.7,3.6,1.95,3.25,4.26,3.75,1.0,1.42,1.45,1.53,1.21,2.9,3.65,3.35,1.7,2.45,1.15,2.8,4.15,2.11,2.5,1.9,1.42,2.16,1.05,1.8,2.0,2.25,3.75,2.12,4.12,1.88,1.0,1.0,1.0,1.0,2.88,2.0,3.0,3.12,1.0,1.0,1.0,2.25,4.0,3.75,1.25,3.25,2.12,1.62,3.88,1.0,3.12,4.0,4.0,3.0,3.0,1.0,4.0,1.75,1.75,1.75,3.0,1.0,1.0,3.75,3.62,2.25,1.0,1.0,1.0,2.75,2.12,2.5,2.75,2.0,4.12,4.12,"Reading Comprehension, Writing, Speaking, Critical Thinking, Active Listening, Monitoring, Science, Complex Problem Solving, Active Learning, Mathematics","Engineering and Technology, Production and Processing, English Language, Customer and Personal Service, Mathematics, Design, Mechanical, Education and Training, Administration and Management, Computers and Electronics","Written Comprehension, Written Expression, Deductive Reasoning, Oral Comprehension, Oral Expression, Problem Sensitivity, Inductive Reasoning, Near Vision, Information Ordering, Category Flexibility"
Manufacturing Engineers,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.",3.62,3.88,4.0,3.0,3.75,2.62,2.88,2.5,3.12,3.88,3.25,2.88,3.0,2.88,4.0,3.88,3.0,2.62,3.25,3.88,3.12,1.88,3.25,4.0,2.62,3.12,3.0,3.0,3.88,3.75,3.75,3.62,3.5,3.5,3.75,3.23,2.77,1.6,2.48,2.58,2.24,3.81,2.54,4.0,2.62,3.15,4.42,3.77,1.0,1.27,1.54,1.6,1.15,2.76,3.96,4.08,1.36,2.38,1.54,3.42,4.42,2.25,2.85,2.08,1.44,2.04,1.62,2.5,2.5,2.88,4.0,2.5,4.0,2.62,1.0,1.88,1.38,2.0,3.25,2.5,3.62,3.62,1.0,1.88,1.88,2.75,4.0,3.88,2.38,3.75,2.75,2.38,4.0,1.0,3.75,4.0,3.88,3.62,3.12,1.0,4.0,2.0,2.12,1.75,3.12,1.25,1.75,3.25,3.5,3.0,1.12,2.0,2.12,2.5,2.12,2.88,4.0,2.12,3.88,3.62,"Reading Comprehension, Mathematics, Complex Problem Solving, Active Listening, Speaking, Monitoring, Operations Monitoring, Judgment and Decision Making, Writing, Critical Thinking","Production and Processing, Engineering and Technology, Mechanical, Design, Mathematics, Computers and Electronics, English Language, Physics, Administration and Management, Education and Training","Oral Comprehension, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Category Flexibility, Visualization, Near Vision, Written Comprehension, Oral Expression, Information Ordering"
Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship machinery, and related equipment, such as power supply and propulsion systems.",3.38,4.0,3.75,3.25,4.0,1.25,1.5,1.0,3.0,3.62,3.12,2.25,2.5,3.0,3.62,3.62,2.75,1.62,2.88,3.25,3.0,2.38,3.12,4.0,1.12,3.0,2.75,3.38,4.0,3.38,3.0,2.62,3.0,2.62,3.88,3.25,2.47,1.59,3.04,2.81,1.89,3.25,3.07,4.21,2.57,2.54,4.42,3.89,1.04,1.18,1.74,2.04,1.29,2.63,4.33,3.75,1.27,2.52,1.16,4.08,2.93,1.84,2.68,2.54,1.35,1.89,1.16,3.31,2.25,2.5,3.62,2.12,4.0,2.38,1.0,1.5,1.0,1.75,3.38,2.0,3.5,3.25,2.0,1.12,1.0,2.5,4.0,3.88,2.12,3.38,2.62,1.12,3.75,1.0,3.25,4.12,4.0,3.25,3.38,1.38,4.0,1.25,2.0,1.38,3.12,1.25,2.0,4.0,3.88,2.88,1.0,1.12,1.0,2.88,2.12,2.88,3.62,2.0,4.0,3.88,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Writing, Complex Problem Solving, Mathematics, Monitoring, Judgment and Decision Making, Active Learning","Engineering and Technology, Mathematics, Design, Physics, English Language, Mechanical, Transportation, Administration and Management, Computers and Electronics, Customer and Personal Service","Oral Comprehension, Written Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Speech Clarity, Written Expression, Information Ordering, Speech Recognition"
Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers.",3.25,4.0,4.0,3.0,3.88,1.5,2.0,1.0,3.12,3.25,3.0,2.12,2.62,3.0,3.75,3.12,3.0,2.25,3.12,3.0,3.0,1.88,3.12,4.0,1.5,4.0,3.12,3.0,3.75,3.12,3.0,2.62,3.0,2.25,3.75,3.0,2.52,1.95,2.19,4.25,2.29,3.38,3.1,3.62,2.24,2.86,4.29,3.86,1.29,1.19,1.9,1.48,1.33,2.14,4.1,3.1,1.67,2.6,1.48,4.19,4.1,1.76,2.38,2.48,1.29,1.65,1.19,1.71,2.38,2.12,4.0,2.38,4.0,2.12,1.0,1.0,1.0,1.5,2.88,2.75,3.25,3.5,1.0,1.0,1.0,2.12,4.0,3.75,2.38,3.75,2.12,1.75,3.75,1.0,3.12,4.0,4.0,3.38,3.25,1.0,3.88,2.0,2.0,1.5,3.12,1.0,1.12,3.25,3.25,2.62,1.0,1.0,1.0,2.25,1.38,3.0,3.25,2.0,4.0,3.88,"Reading Comprehension, Active Listening, Science, Complex Problem Solving, Critical Thinking, Writing, Speaking, Mathematics, Active Learning, Judgment and Decision Making","Engineering and Technology, Chemistry, Physics, Production and Processing, Mathematics, English Language, Design, Computers and Electronics, Customer and Personal Service, Mechanical","Oral Comprehension, Written Comprehension, Oral Expression, Deductive Reasoning, Inductive Reasoning, Category Flexibility, Written Expression, Problem Sensitivity, Information Ordering, Mathematical Reasoning"
Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.",3.5,3.88,3.75,3.0,3.88,2.12,2.25,2.0,2.88,3.75,2.88,2.5,2.38,2.88,3.75,3.25,2.62,2.75,3.5,3.12,2.75,2.38,3.12,3.88,1.88,3.75,2.88,2.88,3.38,3.38,3.38,3.12,3.0,2.88,3.38,3.21,3.22,1.85,2.68,2.63,2.32,3.63,3.09,4.5,2.39,3.39,4.46,4.06,1.32,1.0,1.64,1.76,1.32,2.62,3.88,4.23,1.63,2.65,1.5,3.38,4.34,2.08,3.73,2.48,1.83,2.3,1.42,2.13,2.0,2.5,3.5,1.88,4.0,1.88,1.0,1.0,1.0,1.38,2.88,2.25,3.25,3.5,1.0,1.0,1.0,2.25,4.0,3.88,1.62,3.88,3.0,1.0,3.88,1.0,3.62,4.0,4.0,3.38,3.0,1.12,4.0,1.38,1.88,1.0,3.0,1.0,1.5,3.25,3.25,2.88,1.0,1.0,1.0,2.62,1.75,2.75,3.5,1.75,4.0,3.62,"Reading Comprehension, Active Listening, Critical Thinking, Mathematics, Science, Complex Problem Solving, Judgment and Decision Making, Active Learning, Operations Analysis, Writing","Design, Engineering and Technology, Production and Processing, Mechanical, English Language, Mathematics, Public Safety and Security, Computers and Electronics, Education and Training, Physics","Oral Comprehension, Written Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Information Ordering, Mathematical Reasoning, Near Vision, Written Expression"
Fuel Cell Engineers,"Design, evaluate, modify, or construct fuel cell components or systems for transportation, stationary, or portable applications.",3.62,3.62,3.25,3.0,4.0,2.12,2.62,1.62,3.0,3.62,3.12,1.75,2.5,2.5,3.5,3.62,2.62,2.75,3.0,3.12,2.75,2.5,3.12,4.0,2.38,3.75,2.62,2.88,3.75,3.62,3.62,2.88,3.0,3.0,3.75,2.82,2.14,1.14,2.14,3.95,1.91,3.48,2.0,3.86,2.05,2.32,4.64,3.14,1.05,1.09,1.5,1.38,1.09,1.59,3.86,3.45,1.14,2.09,1.18,3.64,3.29,1.18,2.05,1.82,1.27,1.82,1.14,2.09,2.75,2.12,3.75,2.75,4.0,2.12,1.0,1.0,1.0,1.38,3.0,2.88,3.38,3.62,1.0,1.0,1.0,2.38,4.0,3.75,2.25,3.88,2.88,1.62,3.75,1.0,3.25,4.0,4.0,3.5,3.0,1.12,4.0,1.62,1.5,1.75,3.38,1.25,1.25,3.0,3.25,3.0,1.0,1.0,1.0,2.75,1.62,2.75,3.25,1.88,4.0,4.0,"Reading Comprehension, Critical Thinking, Writing, Speaking, Science, Active Listening, Active Learning, Monitoring, Judgment and Decision Making, Systems Analysis","Engineering and Technology, Chemistry, Design, Mathematics, Physics, Computers and Electronics, Mechanical, Production and Processing, English Language, Administration and Management","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Mathematical Reasoning, Information Ordering, Category Flexibility"
Automotive Engineers,"Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.",3.38,3.75,4.12,3.5,4.12,1.0,1.88,1.0,3.0,3.88,2.88,2.0,2.0,3.0,3.88,3.12,3.0,2.12,3.75,2.88,3.12,2.75,3.0,4.0,1.0,3.25,2.88,3.0,3.88,3.75,3.75,3.12,3.25,2.0,3.88,3.24,2.38,1.57,1.76,3.0,2.33,3.85,2.71,3.86,2.52,2.81,4.71,3.7,1.05,1.29,1.85,1.75,1.38,2.6,4.33,4.14,1.1,2.19,1.24,4.35,3.33,1.79,2.67,2.1,1.48,2.43,1.1,3.76,2.0,2.12,3.62,2.0,4.0,2.25,1.0,1.0,1.0,1.0,3.0,2.12,2.88,3.88,2.0,1.0,1.0,2.12,4.0,3.75,1.62,3.88,2.62,2.0,3.75,2.0,3.75,4.0,4.0,3.88,2.88,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.75,3.75,2.75,1.5,1.0,1.0,2.25,1.5,2.88,3.75,1.5,4.0,3.88,"Critical Thinking, Complex Problem Solving, Reading Comprehension, Writing, Speaking, Mathematics, Judgment and Decision Making, Active Listening, Operations Analysis, Systems Analysis","Engineering and Technology, Physics, Mathematics, Mechanical, Design, Computers and Electronics, Transportation, English Language, Production and Processing, Administration and Management","Oral Comprehension, Written Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Written Expression, Fluency of Ideas, Originality, Mathematical Reasoning"
"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct subsurface surveys to identify the characteristics of potential land or mining development sites. May specify the ground support systems, processes, and equipment for safe, economical, and environmentally sound extraction or underground construction activities. May inspect areas for unsafe geological conditions, equipment, and working conditions. May design, implement, and coordinate mine safety programs.",3.5,3.88,4.12,3.5,4.0,1.0,2.25,1.0,3.12,4.0,3.12,2.88,3.0,3.0,3.75,3.75,2.88,2.0,3.12,3.0,2.88,2.62,2.88,4.0,1.0,3.5,2.62,2.88,4.0,3.75,3.75,2.5,3.38,1.88,4.0,3.37,3.28,1.78,2.9,2.65,1.93,3.13,2.55,3.56,3.2,2.77,4.47,3.57,1.0,1.0,1.3,2.88,1.6,2.75,4.44,2.38,1.19,2.55,1.04,3.25,3.56,1.96,2.75,1.96,1.2,1.78,1.2,2.66,1.12,2.12,4.0,1.38,4.0,2.12,1.0,1.0,1.0,1.0,3.12,1.75,3.62,3.75,1.5,1.0,1.0,2.25,4.0,4.0,1.0,3.88,2.75,1.38,3.75,1.12,3.38,4.0,4.0,3.5,3.12,1.0,4.0,1.0,2.0,1.12,3.38,1.12,1.88,3.88,3.88,3.0,1.0,1.0,1.0,2.5,1.88,2.75,3.38,1.75,4.0,4.0,"Complex Problem Solving, Reading Comprehension, Writing, Speaking, Critical Thinking, Judgment and Decision Making, Active Listening, Mathematics, Monitoring, Systems Analysis","Engineering and Technology, Mathematics, English Language, Production and Processing, Design, Administration and Management, Administrative, Physics, Economics and Accounting, Computers and Electronics","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Information Ordering, Category Flexibility, Mathematical Reasoning"
Nuclear Engineers,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal.",3.88,4.0,4.0,3.62,4.12,1.62,1.75,1.0,3.0,4.0,3.0,2.12,2.12,2.75,4.0,4.0,3.0,2.25,3.75,3.62,3.12,1.88,3.25,4.0,1.62,4.12,2.88,2.88,3.75,3.75,3.75,2.88,3.5,3.12,4.0,3.33,2.14,2.76,3.0,3.86,2.1,3.67,2.24,3.67,2.19,3.4,4.57,4.05,1.1,1.19,1.52,1.95,1.57,3.21,4.4,3.48,1.5,2.48,1.29,4.55,2.76,2.19,3.95,1.81,1.71,2.05,1.38,2.0,2.0,2.5,4.0,1.88,4.0,2.0,1.0,1.0,1.0,1.0,3.0,1.62,3.5,3.75,1.0,1.0,1.0,2.5,4.0,4.0,1.5,4.0,2.62,1.0,3.88,1.0,3.75,3.75,4.0,3.38,3.25,1.0,4.62,1.12,1.75,1.0,3.12,1.0,1.0,3.62,3.5,2.88,1.0,1.0,1.0,2.75,1.75,2.62,3.12,1.38,4.0,4.12,"Science, Critical Thinking, Reading Comprehension, Active Listening, Writing, Mathematics, Monitoring, Complex Problem Solving, Judgment and Decision Making, Active Learning","Engineering and Technology, Physics, Mathematics, English Language, Public Safety and Security, Chemistry, Computers and Electronics, Design, Mechanical, Education and Training","Problem Sensitivity, Written Expression, Written Comprehension, Oral Expression, Deductive Reasoning, Inductive Reasoning, Information Ordering, Category Flexibility, Mathematical Reasoning, Near Vision"
Petroleum Engineers,Devise methods to improve oil and gas extraction and production and determine the need for new or modified tool designs. Oversee drilling and offer technical advice.,3.75,3.88,3.88,3.62,4.0,1.12,1.88,1.75,3.0,3.88,3.0,2.5,2.75,2.88,3.25,3.75,2.88,2.12,2.25,2.88,3.0,1.88,2.62,4.0,1.0,3.38,3.0,3.62,3.88,3.88,3.88,2.25,3.62,2.25,3.88,3.35,3.19,1.79,1.69,3.39,2.17,3.51,2.63,3.14,3.2,2.33,4.4,3.15,1.0,1.05,1.69,2.22,1.13,3.14,4.12,2.81,1.05,2.13,1.13,3.52,2.03,1.46,2.37,2.17,1.18,2.0,1.05,2.03,1.0,2.0,3.88,1.75,4.0,2.0,1.0,1.0,1.0,1.0,2.88,2.12,3.0,3.75,1.0,1.0,1.0,2.38,4.0,3.75,1.0,3.25,2.62,1.5,3.62,1.0,3.12,4.0,4.0,3.38,3.0,1.0,4.0,1.0,1.12,1.0,3.12,1.0,1.12,3.5,3.5,2.75,1.0,1.0,1.0,2.88,1.38,2.62,3.25,1.12,4.0,4.0,"Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Complex Problem Solving, Judgment and Decision Making, Systems Analysis, Systems Evaluation, Active Learning","Engineering and Technology, Mathematics, Physics, Computers and Electronics, Chemistry, Administration and Management, Economics and Accounting, Administrative, English Language, Design","Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Category Flexibility, Fluency of Ideas, Information Ordering"
"Energy Engineers, Except Wind and Solar","Design, develop, or evaluate energy-related projects or programs to reduce energy costs or improve energy efficiency during the designing, building, or remodeling stages of construction. May specialize in electrical systems; heating, ventilation, and air-conditioning (HVAC) systems; green buildings; lighting; air quality; or energy procurement.",3.75,3.88,3.88,3.0,4.0,1.0,1.25,1.0,3.0,3.5,2.88,2.25,2.25,2.75,3.75,3.88,2.88,2.12,3.38,2.62,3.0,2.0,2.5,4.12,1.0,3.62,3.0,3.25,3.75,3.88,3.5,2.12,3.12,2.0,3.88,3.55,2.59,1.82,3.86,2.86,2.64,3.0,3.81,3.55,3.45,2.64,4.5,3.64,1.09,1.09,1.41,2.18,1.45,2.91,3.95,3.77,1.23,2.68,1.5,3.55,1.68,2.43,2.77,2.95,1.81,1.86,1.32,1.95,1.0,2.25,3.38,1.62,4.0,1.88,1.0,1.0,1.0,1.0,3.12,2.0,3.0,3.25,1.0,1.0,1.0,2.12,4.0,4.0,1.0,3.88,2.5,1.38,3.75,1.0,3.25,4.0,3.88,3.25,2.88,1.0,4.12,1.0,1.0,1.0,3.25,1.0,1.0,3.88,3.75,2.75,1.0,1.0,1.0,2.75,1.62,2.75,3.25,1.12,4.0,3.75,"Reading Comprehension, Critical Thinking, Active Listening, Writing, Monitoring, Complex Problem Solving, Systems Analysis, Speaking, Mathematics, Active Learning","Engineering and Technology, Mathematics, Building and Construction, Customer and Personal Service, Mechanical, English Language, Administration and Management, Design, Physics, Economics and Accounting","Problem Sensitivity, Oral Comprehension, Written Comprehension, Deductive Reasoning, Inductive Reasoning, Information Ordering, Oral Expression, Mathematical Reasoning, Speech Clarity, Written Expression"
Mechatronics Engineers,"Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.",3.12,3.62,3.88,3.0,3.75,1.5,2.38,1.62,3.0,3.88,3.12,2.0,2.0,2.75,3.38,3.38,2.62,3.0,3.12,3.12,2.88,2.5,3.0,3.75,1.38,3.12,2.88,2.75,3.5,3.25,3.38,3.12,3.0,2.25,3.75,2.36,2.52,1.31,2.19,2.13,1.98,3.02,1.99,4.25,2.18,2.87,4.65,2.97,1.0,1.11,1.33,1.09,1.0,1.5,3.89,4.11,1.09,1.91,1.04,3.27,4.15,1.55,2.76,1.28,1.23,2.05,1.01,1.65,2.25,2.75,3.25,2.25,4.0,2.12,1.0,1.0,1.0,1.5,3.0,2.25,3.0,3.5,1.0,1.0,1.0,2.62,3.88,3.75,2.0,3.12,2.88,1.75,3.75,1.0,3.0,4.12,3.88,3.38,2.75,1.0,3.88,1.88,1.75,1.5,3.12,1.12,1.5,3.38,3.25,2.88,1.0,1.0,1.0,2.88,1.75,2.88,3.25,1.88,4.0,3.88,"Complex Problem Solving, Judgment and Decision Making, Reading Comprehension, Writing, Critical Thinking, Active Listening, Speaking, Mathematics, Monitoring, Systems Evaluation","Engineering and Technology, Design, Production and Processing, Mechanical, Mathematics, Physics, Computers and Electronics, English Language, Education and Training, Public Safety and Security","Oral Comprehension, Written Comprehension, Deductive Reasoning, Oral Expression, Written Expression, Problem Sensitivity, Inductive Reasoning, Information Ordering, Near Vision, Fluency of Ideas"
Microsystems Engineers,"Research, design, develop, or test microelectromechanical systems (MEMS) devices.",3.5,4.0,3.88,3.0,4.0,1.88,2.25,1.38,3.12,3.62,3.25,2.25,2.38,2.88,3.38,3.62,3.0,2.62,3.0,3.25,2.88,2.62,3.12,4.0,2.0,3.62,3.0,3.0,3.62,3.75,3.5,2.38,3.5,2.5,3.75,2.99,2.12,1.88,1.27,2.98,2.14,4.62,2.67,3.92,2.15,1.89,4.6,3.47,1.13,1.0,1.31,1.51,1.15,2.1,4.07,3.19,1.57,2.37,1.17,3.96,3.25,1.34,2.51,2.15,1.34,2.67,1.16,1.44,2.62,2.38,3.5,2.62,3.88,2.25,1.0,1.0,1.62,1.75,2.88,2.62,3.25,3.62,1.0,1.0,1.0,2.5,3.88,3.62,2.5,3.38,2.88,1.88,3.5,1.0,3.25,4.12,3.88,3.5,3.25,1.0,3.75,1.88,1.75,1.12,3.5,1.0,1.38,3.38,3.5,2.88,1.0,1.12,1.75,3.0,2.12,3.0,3.5,2.0,4.12,3.75,"Reading Comprehension, Active Listening, Critical Thinking, Complex Problem Solving, Writing, Systems Analysis, Speaking, Science, Monitoring, Judgment and Decision Making","Computers and Electronics, Engineering and Technology, Mathematics, Physics, Design, English Language, Production and Processing, Mechanical, Administration and Management, Chemistry","Oral Comprehension, Written Comprehension, Oral Expression, Deductive Reasoning, Inductive Reasoning, Written Expression, Problem Sensitivity, Fluency of Ideas, Information Ordering, Originality"
Photonics Engineers,"Design technologies specializing in light information or light energy, such as laser or fiber optics technology.",3.62,3.75,3.38,3.0,4.0,2.12,2.88,1.25,3.0,3.38,3.0,1.75,2.0,2.62,3.62,3.0,2.5,2.88,3.25,2.88,2.62,2.25,3.0,3.88,2.62,3.5,2.5,2.75,3.62,3.12,3.12,3.25,2.88,2.75,3.88,2.26,2.17,1.61,1.39,2.7,1.96,4.23,2.13,3.96,1.78,1.95,4.83,3.33,1.09,1.0,1.39,1.43,1.17,1.91,4.57,3.09,1.36,1.7,1.04,4.57,2.7,1.26,2.09,1.83,1.04,2.74,1.05,1.48,2.62,1.88,3.62,2.62,4.0,2.5,1.0,1.0,1.0,1.12,2.88,2.62,3.25,3.75,1.75,1.0,1.0,2.12,4.0,4.0,2.5,3.88,2.75,1.62,3.62,1.0,3.5,3.88,3.75,3.75,3.0,1.0,3.75,1.75,1.75,1.75,2.88,1.0,1.0,3.5,3.25,2.88,1.0,1.0,1.38,2.25,1.62,2.88,3.25,1.75,4.0,3.88,"Critical Thinking, Reading Comprehension, Writing, Active Listening, Speaking, Mathematics, Active Learning, Science, Complex Problem Solving, Judgment and Decision Making","Engineering and Technology, Mathematics, Physics, Computers and Electronics, Design, English Language, Mechanical, Telecommunications, Production and Processing, Chemistry","Written Comprehension, Deductive Reasoning, Inductive Reasoning, Information Ordering, Oral Comprehension, Written Expression, Mathematical Reasoning, Oral Expression, Fluency of Ideas, Originality"
Robotics Engineers,"Research, design, develop, or test robotic applications.",3.75,3.88,3.88,3.38,4.0,3.38,3.12,2.5,3.0,3.88,3.38,2.62,2.12,3.12,3.75,3.88,2.88,2.88,3.25,3.62,3.0,3.12,3.62,3.88,2.88,3.12,2.38,3.0,3.25,3.88,3.38,3.38,3.62,3.62,3.75,2.77,2.5,1.87,2.3,2.6,2.17,4.45,2.83,4.63,2.13,3.3,4.79,4.0,1.13,1.67,1.9,1.4,1.23,2.13,4.2,4.21,1.47,2.1,1.37,3.93,3.7,1.67,2.93,2.27,1.43,2.83,1.3,1.87,3.12,2.5,3.88,3.0,4.0,2.75,1.0,1.0,1.5,2.12,2.88,3.5,3.75,3.88,1.38,1.0,1.0,2.75,4.0,4.0,3.0,3.88,3.0,2.62,3.88,1.38,3.38,4.0,3.88,3.88,3.38,1.38,4.12,2.75,2.62,1.75,3.12,1.38,1.5,3.12,3.5,2.88,1.38,1.0,1.62,3.0,2.12,3.12,3.88,2.0,4.0,3.88,"Critical Thinking, Reading Comprehension, Active Listening, Monitoring, Complex Problem Solving, Judgment and Decision Making, Systems Analysis, Writing, Mathematics, Active Learning","Engineering and Technology, Design, Computers and Electronics, Mechanical, Mathematics, English Language, Physics, Production and Processing, Education and Training, Public Safety and Security","Problem Sensitivity, Oral Comprehension, Written Comprehension, Deductive Reasoning, Inductive Reasoning, Information Ordering, Oral Expression, Written Expression, Fluency of Ideas, Originality"
Nanosystems Engineers,"Design, develop, or supervise the production of materials, devices, or systems of unique molecular or macromolecular composition, applying principles of nanoscale physics and electrical, chemical, or biological engineering.",3.88,3.88,3.88,3.0,4.0,2.12,2.5,1.0,3.0,3.88,3.0,2.25,2.38,2.88,3.88,3.5,3.0,2.38,3.25,3.0,3.0,2.25,3.12,4.0,2.12,4.0,2.88,3.12,4.0,3.62,3.38,3.12,3.0,2.25,3.88,3.0,2.43,2.85,1.76,4.29,2.14,3.81,2.48,3.38,2.05,3.43,4.62,3.52,1.05,1.19,1.48,1.19,1.14,1.65,4.14,3.1,1.95,2.25,1.24,4.6,3.38,1.62,2.38,2.0,1.24,1.86,1.1,1.29,2.62,2.12,3.88,2.88,4.0,2.0,1.0,1.0,1.75,2.0,3.0,2.88,3.75,3.62,1.0,1.0,1.0,2.0,4.0,3.88,2.25,3.75,2.88,2.0,4.0,1.0,3.38,4.0,4.0,3.75,2.88,1.0,3.75,1.88,2.12,1.0,3.25,1.0,1.0,3.62,3.5,2.75,1.0,1.0,2.0,2.12,2.0,2.75,3.12,2.0,4.0,3.88,"Reading Comprehension, Speaking, Science, Critical Thinking, Active Listening, Writing, Mathematics, Active Learning, Complex Problem Solving, Judgment and Decision Making","Engineering and Technology, Physics, Chemistry, Mathematics, Computers and Electronics, English Language, Education and Training, Production and Processing, Design, Mechanical","Oral Comprehension, Written Comprehension, Oral Expression, Deductive Reasoning, Inductive Reasoning, Near Vision, Written Expression, Information Ordering, Category Flexibility, Originality"
